"BA Code","Timestamp (Hour Ending)","Demand (MWh)","Demand Forecast (MWh)","Net Generation (MWh)","Total Interchange (MWh)"
FPL,"3/28/2026 12 a.m. EDT",14617,14180,14920,303
FPL,"3/28/2026 1 a.m. EDT",13233,12612,13543,310
FPL,"3/28/2026 2 a.m. EDT",12052,11816,12270,218
FPL,"3/28/2026 3 a.m. EDT",11209,11068,11361,152
FPL,"3/28/2026 4 a.m. EDT",10680,10758,10836,156
FPL,"3/28/2026 5 a.m. EDT",10389,10586,10534,145
FPL,"3/28/2026 6 a.m. EDT",10421,10715,10576,155
FPL,"3/28/2026 7 a.m. EDT",10773,11282,10925,152
FPL,"3/28/2026 8 a.m. EDT",11246,12048,11613,367
FPL,"3/28/2026 9 a.m. EDT",12662,13552,13178,516
FPL,"3/28/2026 10 a.m. EDT",14581,14976,15252,671
FPL,"3/28/2026 11 a.m. EDT",15784,16047,16483,699
FPL,"3/28/2026 12 p.m. EDT",16788,17372,17774,986
FPL,"3/28/2026 1 p.m. EDT",17500,18286,18482,982
FPL,"3/28/2026 2 p.m. EDT",18338,19089,19278,940
FPL,"3/28/2026 3 p.m. EDT",19116,19923,20042,926
FPL,"3/28/2026 4 p.m. EDT",19678,20345,20753,1075
FPL,"3/28/2026 5 p.m. EDT",19985,20371,21047,1062
FPL,"3/28/2026 6 p.m. EDT",19887,19954,20913,1026
FPL,"3/28/2026 7 p.m. EDT",18969,18956,19975,1006
FPL,"3/28/2026 8 p.m. EDT",18128,18326,18940,812
FPL,"3/28/2026 9 p.m. EDT",17767,17691,18490,723
FPL,"3/28/2026 10 p.m. EDT",16978,16631,17701,723
FPL,"3/28/2026 11 p.m. EDT",15993,15430,16555,562
FPL,"3/29/2026 12 a.m. EDT",14856,13986,15002,146
FPL,"3/29/2026 1 a.m. EDT",13479,12910,13627,148
FPL,"3/29/2026 2 a.m. EDT",11968,12025,12097,129
FPL,"3/29/2026 3 a.m. EDT",11497,11518,11672,175
FPL,"3/29/2026 4 a.m. EDT",11182,11143,11338,156
FPL,"3/29/2026 5 a.m. EDT",11041,10942,11192,151
FPL,"3/29/2026 6 a.m. EDT",10968,10971,11113,145
FPL,"3/29/2026 7 a.m. EDT",11027,11224,11200,173
FPL,"3/29/2026 8 a.m. EDT",11451,12185,11814,363
FPL,"3/29/2026 9 a.m. EDT",12502,13602,12882,380
FPL,"3/29/2026 10 a.m. EDT",13866,14677,14450,584
FPL,"3/29/2026 11 a.m. EDT",14772,15386,15469,697
FPL,"3/29/2026 12 p.m. EDT",15583,16002,16406,823
FPL,"3/29/2026 1 p.m. EDT",16148,16561,16960,812
FPL,"3/29/2026 2 p.m. EDT",16280,17184,17143,863
FPL,"3/29/2026 3 p.m. EDT",16243,17491,17129,886
FPL,"3/29/2026 4 p.m. EDT",16208,17853,17233,1025
FPL,"3/29/2026 5 p.m. EDT",16239,18110,17202,963
FPL,"3/29/2026 6 p.m. EDT",16265,17922,17219,954
FPL,"3/29/2026 7 p.m. EDT",16085,17445,16997,912
FPL,"3/29/2026 8 p.m. EDT",15928,17091,16661,733
FPL,"3/29/2026 9 p.m. EDT",15938,16557,16735,797
FPL,"3/29/2026 10 p.m. EDT",15585,15589,16378,793
FPL,"3/29/2026 11 p.m. EDT",14662,14383,15393,731
FPL,"3/30/2026 12 a.m. EDT",13258,12931,13533,275
FPL,"3/30/2026 1 a.m. EDT",11940,11771,12074,134
FPL,"3/30/2026 2 a.m. EDT",11029,11114,11183,154
FPL,"3/30/2026 3 a.m. EDT",10646,10519,10813,167
FPL,"3/30/2026 4 a.m. EDT",10395,10429,10522,127
FPL,"3/30/2026 5 a.m. EDT",10380,10689,10508,128
FPL,"3/30/2026 6 a.m. EDT",11031,11394,11118,87
FPL,"3/30/2026 7 a.m. EDT",12011,12557,12118,107
FPL,"3/30/2026 8 a.m. EDT",12812,13290,13138,326
FPL,"3/30/2026 9 a.m. EDT",13510,14186,13902,392
FPL,"3/30/2026 10 a.m. EDT",14730,15324,15349,619
FPL,"3/30/2026 11 a.m. EDT",15527,16270,16093,566
FPL,"3/30/2026 12 p.m. EDT",15715,16947,16493,778
FPL,"3/30/2026 1 p.m. EDT",16285,17760,17282,997
FPL,"3/30/2026 2 p.m. EDT",16675,18311,17670,995
FPL,"3/30/2026 3 p.m. EDT",16961,18488,18012,1051
FPL,"3/30/2026 4 p.m. EDT",17355,18710,18480,1125
FPL,"3/30/2026 5 p.m. EDT",17786,19053,18964,1178
FPL,"3/30/2026 6 p.m. EDT",17921,18942,19023,1102
FPL,"3/30/2026 7 p.m. EDT",17716,18562,18736,1020
FPL,"3/30/2026 8 p.m. EDT",17372,18338,18223,851
FPL,"3/30/2026 9 p.m. EDT",17037,17679,17905,868
FPL,"3/30/2026 10 p.m. EDT",16418,16517,17184,766
FPL,"3/30/2026 11 p.m. EDT",15408,15107,16047,639
FPL,"3/31/2026 12 a.m. EDT",13946,13459,14145,199
FPL,"3/31/2026 1 a.m. EDT",12455,12258,12632,177
FPL,"3/31/2026 2 a.m. EDT",11477,11456,11664,187
FPL,"3/31/2026 3 a.m. EDT",10875,10831,11058,183
FPL,"3/31/2026 4 a.m. EDT",10643,10625,10812,169
FPL,"3/31/2026 5 a.m. EDT",10531,10824,10716,185
FPL,"3/31/2026 6 a.m. EDT",11011,11575,11164,153
FPL,"3/31/2026 7 a.m. EDT",12072,12708,12235,163
FPL,"3/31/2026 8 a.m. EDT",12624,13114,12826,202
FPL,"3/31/2026 9 a.m. EDT",13672,14315,13886,214
FPL,"3/31/2026 10 a.m. EDT",15114,15527,15565,451
FPL,"3/31/2026 11 a.m. EDT",16009,16515,16514,505
FPL,"3/31/2026 12 p.m. EDT",16323,17261,16870,547
FPL,"3/31/2026 1 p.m. EDT",16968,18056,17622,654
FPL,"3/31/2026 2 p.m. EDT",17586,18597,18351,765
FPL,"3/31/2026 3 p.m. EDT",18110,18821,18992,882
FPL,"3/31/2026 4 p.m. EDT",18635,19241,19766,1131
FPL,"3/31/2026 5 p.m. EDT",19224,19643,20362,1138
FPL,"3/31/2026 6 p.m. EDT",19473,19630,20392,919
FPL,"3/31/2026 7 p.m. EDT",19027,19342,19872,845
FPL,"3/31/2026 8 p.m. EDT",18231,19090,18886,655
FPL,"3/31/2026 9 p.m. EDT",18015,18345,18688,673
FPL,"3/31/2026 10 p.m. EDT",17341,16986,17981,640
FPL,"3/31/2026 11 p.m. EDT",16150,15460,16798,648
FPL,"4/1/2026 12 a.m. EDT",14346,13697,14607,261
FPL,"4/1/2026 1 a.m. EDT",12831,12484,12926,95
FPL,"4/1/2026 2 a.m. EDT",11739,11535,11997,258
FPL,"4/1/2026 3 a.m. EDT",11057,10946,11369,312
FPL,"4/1/2026 4 a.m. EDT",10679,10601,11013,334
FPL,"4/1/2026 5 a.m. EDT",10571,10890,10914,343
FPL,"4/1/2026 6 a.m. EDT",11109,11562,11417,308
FPL,"4/1/2026 7 a.m. EDT",12211,12658,12481,270
FPL,"4/1/2026 8 a.m. EDT",12885,13065,13313,428
FPL,"4/1/2026 9 a.m. EDT",13763,14214,14216,453
FPL,"4/1/2026 10 a.m. EDT",14999,15373,15681,682
FPL,"4/1/2026 11 a.m. EDT",16037,16325,16778,741
FPL,"4/1/2026 12 p.m. EDT",16743,17044,17438,695
FPL,"4/1/2026 1 p.m. EDT",17093,17805,17824,731
FPL,"4/1/2026 2 p.m. EDT",17431,18370,18172,741
FPL,"4/1/2026 3 p.m. EDT",17938,18732,18870,932
FPL,"4/1/2026 4 p.m. EDT",18674,19323,19933,1259
FPL,"4/1/2026 5 p.m. EDT",18943,19645,20524,1581
FPL,"4/1/2026 6 p.m. EDT",19090,19683,20214,1124
FPL,"4/1/2026 7 p.m. EDT",18481,19242,19149,668
FPL,"4/1/2026 8 p.m. EDT",17857,18934,18516,659
FPL,"4/1/2026 9 p.m. EDT",17602,18325,18409,807
FPL,"4/1/2026 10 p.m. EDT",16907,16984,17542,635
FPL,"4/1/2026 11 p.m. EDT",15836,15488,16548,712
