"BA Code","Timestamp (Hour Ending)","Demand (MWh)","Demand Forecast (MWh)","Net Generation (MWh)","Total Interchange (MWh)"
ERCO,"3/28/2026 12 a.m. CDT",48569,49191,48409,-160
ERCO,"3/28/2026 1 a.m. CDT",46397,45657,46144,-252
ERCO,"3/28/2026 2 a.m. CDT",44618,44068,44388,-231
ERCO,"3/28/2026 3 a.m. CDT",43343,42871,43223,-119
ERCO,"3/28/2026 4 a.m. CDT",42460,41982,42340,-120
ERCO,"3/28/2026 5 a.m. CDT",41942,41780,41789,-152
ERCO,"3/28/2026 6 a.m. CDT",41922,41935,41785,-136
ERCO,"3/28/2026 7 a.m. CDT",43094,42546,42862,-232
ERCO,"3/28/2026 8 a.m. CDT",44165,43485,44048,-117
ERCO,"3/28/2026 9 a.m. CDT",45498,44429,45366,-131
ERCO,"3/28/2026 10 a.m. CDT",46696,46097,46540,-156
ERCO,"3/28/2026 11 a.m. CDT",47534,47135,47283,-250
ERCO,"3/28/2026 12 p.m. CDT",47804,47712,47575,-229
ERCO,"3/28/2026 1 p.m. CDT",47880,47839,47667,-213
ERCO,"3/28/2026 2 p.m. CDT",48120,48096,47895,-224
ERCO,"3/28/2026 3 p.m. CDT",48654,48585,48409,-244
ERCO,"3/28/2026 4 p.m. CDT",49311,49200,49077,-233
ERCO,"3/28/2026 5 p.m. CDT",49864,49771,49644,-220
ERCO,"3/28/2026 6 p.m. CDT",50035,50313,49814,-220
ERCO,"3/28/2026 7 p.m. CDT",49667,49920,49444,-222
ERCO,"3/28/2026 8 p.m. CDT",49585,49055,49216,-369
ERCO,"3/28/2026 9 p.m. CDT",49791,49305,49417,-373
ERCO,"3/28/2026 10 p.m. CDT",48930,48222,48335,-594
ERCO,"3/28/2026 11 p.m. CDT",47452,46681,46816,-636
ERCO,"3/29/2026 12 a.m. CDT",45730,44831,44985,-745
ERCO,"3/29/2026 1 a.m. CDT",44008,43388,43231,-777
ERCO,"3/29/2026 2 a.m. CDT",42811,42155,42159,-652
ERCO,"3/29/2026 3 a.m. CDT",41977,41114,41413,-563
ERCO,"3/29/2026 4 a.m. CDT",41471,40637,40772,-699
ERCO,"3/29/2026 5 a.m. CDT",41388,40524,40813,-575
ERCO,"3/29/2026 6 a.m. CDT",41847,40580,41486,-361
ERCO,"3/29/2026 7 a.m. CDT",42691,41153,42481,-210
ERCO,"3/29/2026 8 a.m. CDT",43628,42400,43423,-205
