"BA Code","Timestamp (Hour Ending)","Demand (MWh)","Demand Forecast (MWh)","Net Generation (MWh)","Total Interchange (MWh)"
CISO,"3/28/2026 12 a.m. EDT",27147,28428,21552,-5577
CISO,"3/28/2026 1 a.m. EDT",26400,27502,21370,-5147
CISO,"3/28/2026 2 a.m. EDT",25025,26052,19052,-6211
CISO,"3/28/2026 3 a.m. EDT",23662,24245,16608,-6857
CISO,"3/28/2026 4 a.m. EDT",23036,23369,15110,-7563
CISO,"3/28/2026 5 a.m. EDT",21549,22223,13700,-7777
CISO,"3/28/2026 6 a.m. EDT",20856,21075,12881,-7626
CISO,"3/28/2026 7 a.m. EDT",20262,20427,12179,-7671
CISO,"3/28/2026 8 a.m. EDT",20573,20261,11824,-7869
CISO,"3/28/2026 9 a.m. EDT",20441,20492,12923,-6971
CISO,"3/28/2026 10 a.m. EDT",21071,21112,14545,-5842
CISO,"3/28/2026 11 a.m. EDT",21661,21187,16662,-3258
CISO,"3/28/2026 12 p.m. EDT",23292,20262,17418,-1315
CISO,"3/28/2026 1 p.m. EDT",24812,18675,15938,-1000
CISO,"3/28/2026 2 p.m. EDT",25883,17313,13895,-1768
CISO,"3/28/2026 3 p.m. EDT",25250,16633,12755,-2031
CISO,"3/28/2026 4 p.m. EDT",23801,16553,12720,-1735
CISO,"3/28/2026 5 p.m. EDT",23448,17097,13402,-2026
CISO,"3/28/2026 6 p.m. EDT",23016,18549,15297,-1438
CISO,"3/28/2026 7 p.m. EDT",22738,20659,17770,-1077
CISO,"3/28/2026 8 p.m. EDT",23552,22830,20281,-677
CISO,"3/28/2026 9 p.m. EDT",25044,25452,23394,-160
CISO,"3/28/2026 10 p.m. EDT",26660,27270,24284,-1592
CISO,"3/28/2026 11 p.m. EDT",27130,27778,24187,-2391
CISO,"3/29/2026 12 a.m. EDT",26213,27152,22967,-3027
CISO,"3/29/2026 1 a.m. EDT",25413,26339,22062,-3425
CISO,"3/29/2026 2 a.m. EDT",24196,25226,20333,-4151
CISO,"3/29/2026 3 a.m. EDT",22725,23689,18166,-4885
CISO,"3/29/2026 4 a.m. EDT",21794,22437,17029,-5033
CISO,"3/29/2026 5 a.m. EDT",20538,21340,15558,-5386
CISO,"3/29/2026 6 a.m. EDT",19624,20275,14312,-5715
CISO,"3/29/2026 7 a.m. EDT",19047,19677,13332,-6115
CISO,"3/29/2026 8 a.m. EDT",18748,19441,13092,-5993
CISO,"3/29/2026 9 a.m. EDT",18790,19530,13529,-5609
CISO,"3/29/2026 10 a.m. EDT",19325,19862,13416,-6112
CISO,"3/29/2026 11 a.m. EDT",19785,19906,13979,-4925
CISO,"3/29/2026 12 p.m. EDT",20983,19146,16456,-1023
CISO,"3/29/2026 1 p.m. EDT",21594,17648,15350,-89
CISO,"3/29/2026 2 p.m. EDT",22927,16325,13980,35
CISO,"3/29/2026 3 p.m. EDT",23810,15762,12127,-1180
CISO,"3/29/2026 4 p.m. EDT",23981,15773,12641,-1016
CISO,"3/29/2026 5 p.m. EDT",23840,16458,14270,-656
CISO,"3/29/2026 6 p.m. EDT",23990,17814,15684,-537
CISO,"3/29/2026 7 p.m. EDT",23724,20089,17998,-299
CISO,"3/29/2026 8 p.m. EDT",25119,22427,21094,-165
CISO,"3/29/2026 9 p.m. EDT",26260,25238,24482,-5
CISO,"3/29/2026 10 p.m. EDT",27847,27415,26273,-216
CISO,"3/29/2026 11 p.m. EDT",28271,28036,25894,-1064
CISO,"3/30/2026 12 a.m. EDT",27892,27387,22138,-4785
CISO,"3/30/2026 1 a.m. EDT",26595,26525,19141,-6988
CISO,"3/30/2026 2 a.m. EDT",25212,25056,17010,-7702
CISO,"3/30/2026 3 a.m. EDT",23176,23324,14482,-8463
CISO,"3/30/2026 4 a.m. EDT",22357,22215,13195,-8982
CISO,"3/30/2026 5 a.m. EDT",21805,21247,12198,-8860
CISO,"3/30/2026 6 a.m. EDT",21697,20356,11114,-9152
CISO,"3/30/2026 7 a.m. EDT",21171,19909,11030,-8862
CISO,"3/30/2026 8 a.m. EDT",20388,20240,11431,-8637
CISO,"3/30/2026 9 a.m. EDT",21006,21353,13552,-7429
CISO,"3/30/2026 10 a.m. EDT",22822,23122,16338,-6115
CISO,"3/30/2026 11 a.m. EDT",23829,24200,17485,-5580
CISO,"3/30/2026 12 p.m. EDT",24981,23754,18727,-3945
