"Region Code","Timestamp (Hour Ending)","Demand (MWh)","Demand Forecast (MWh)","Net Generation (MWh)","Total Interchange (MWh)"
NY,"3/28/2026 12 a.m. EDT",15645,15389,13266,-2379
NY,"3/28/2026 1 a.m. EDT",15065,14827,12642,-2423
NY,"3/28/2026 2 a.m. EDT",14653,14447,12129,-2524
NY,"3/28/2026 3 a.m. EDT",14426,14206,11985,-2441
NY,"3/28/2026 4 a.m. EDT",14361,14116,11888,-2473
NY,"3/28/2026 5 a.m. EDT",14449,14210,12003,-2446
NY,"3/28/2026 6 a.m. EDT",14832,14549,12427,-2405
NY,"3/28/2026 7 a.m. EDT",15494,15132,13180,-2314
NY,"3/28/2026 8 a.m. EDT",15801,15505,13920,-1881
NY,"3/28/2026 9 a.m. EDT",15130,15496,13423,-1707
NY,"3/28/2026 10 a.m. EDT",14183,15180,12460,-1723
NY,"3/28/2026 11 a.m. EDT",13723,14730,11855,-1868
NY,"3/28/2026 12 p.m. EDT",13820,14367,11886,-1934
NY,"3/28/2026 1 p.m. EDT",13757,14098,11548,-2209
NY,"3/28/2026 2 p.m. EDT",13710,13845,11733,-1977
NY,"3/28/2026 3 p.m. EDT",13668,13766,11899,-1769
NY,"3/28/2026 4 p.m. EDT",13793,13972,12321,-1472
NY,"3/28/2026 5 p.m. EDT",14265,14664,12726,-1539
NY,"3/28/2026 6 p.m. EDT",15244,15699,13636,-1608
NY,"3/28/2026 7 p.m. EDT",16569,16617,14839,-1730
NY,"3/28/2026 8 p.m. EDT",17554,17113,15528,-2026
NY,"3/28/2026 9 p.m. EDT",17670,17094,15429,-2241
NY,"3/28/2026 10 p.m. EDT",17352,16767,14948,-2404
NY,"3/28/2026 11 p.m. EDT",16697,16225,14068,-2629
NY,"3/29/2026 12 a.m. EDT",15996,15578,13181,-2815
NY,"3/29/2026 1 a.m. EDT",15508,15085,12916,-2592
NY,"3/29/2026 2 a.m. EDT",15065,14659,12397,-2668
NY,"3/29/2026 3 a.m. EDT",14783,14356,12088,-2695
NY,"3/29/2026 4 a.m. EDT",14591,14271,11921,-2670
NY,"3/29/2026 5 a.m. EDT",14583,14247,12074,-2509
NY,"3/29/2026 6 a.m. EDT",14801,14435,12570,-2231
NY,"3/29/2026 7 a.m. EDT",15223,14798,12940,-2283
NY,"3/29/2026 8 a.m. EDT",15388,14916,13655,-1733
NY,"3/29/2026 9 a.m. EDT",14812,14684,13268,-1544
NY,"3/29/2026 10 a.m. EDT",13895,14189,12081,-1814
NY,"3/29/2026 11 a.m. EDT",12941,13627,11129,-1812
NY,"3/29/2026 12 p.m. EDT",12422,13197,10441,-1981
NY,"3/29/2026 1 p.m. EDT",12087,12971,10159,-1928
NY,"3/29/2026 2 p.m. EDT",11800,12866,9850,-1950
NY,"3/29/2026 3 p.m. EDT",11767,12863,9351,-2416
NY,"3/29/2026 4 p.m. EDT",12283,13057,9953,-2330
NY,"3/29/2026 5 p.m. EDT",13384,13790,11355,-2029
NY,"3/29/2026 6 p.m. EDT",14759,15037,12499,-2260
NY,"3/29/2026 7 p.m. EDT",15938,16118,13565,-2373
NY,"3/29/2026 8 p.m. EDT",16704,16700,14614,-2090
NY,"3/29/2026 9 p.m. EDT",16766,16634,14659,-2107
NY,"3/29/2026 10 p.m. EDT",16309,16143,14000,-2309
NY,"3/29/2026 11 p.m. EDT",15590,15387,13566,-2024
NY,"3/30/2026 12 a.m. EDT",14765,14604,12898,-1867
NY,"3/30/2026 1 a.m. EDT",14161,14119,12802,-1359
NY,"3/30/2026 2 a.m. EDT",13746,13687,11993,-1753
NY,"3/30/2026 3 a.m. EDT",13510,13423,11758,-1752
NY,"3/30/2026 4 a.m. EDT",13443,13316,11676,-1767
NY,"3/30/2026 5 a.m. EDT",13675,13550,11785,-1890
NY,"3/30/2026 6 a.m. EDT",14439,14341,12927,-1512
NY,"3/30/2026 7 a.m. EDT",15708,15719,14131,-1577
NY,"3/30/2026 8 a.m. EDT",16409,16598,14880,-1529
NY,"3/30/2026 9 a.m. EDT",16158,16442,14322,-1836
NY,"3/30/2026 10 a.m. EDT",15302,15776,13691,-1611
NY,"3/30/2026 11 a.m. EDT",14301,15232,12420,-1881
NY,"3/30/2026 12 p.m. EDT",13481,14943,11578,-1903
NY,"3/30/2026 1 p.m. EDT",13120,14665,10925,-2195
NY,"3/30/2026 2 p.m. EDT",13064,14512,10798,-2266
NY,"3/30/2026 3 p.m. EDT",13401,14507,10851,-2550
NY,"3/30/2026 4 p.m. EDT",14136,14698,11429,-2707
NY,"3/30/2026 5 p.m. EDT",14851,15173,12131,-2720
NY,"3/30/2026 6 p.m. EDT",15819,15973,13178,-2641
NY,"3/30/2026 7 p.m. EDT",16551,16630,13675,-2876
NY,"3/30/2026 8 p.m. EDT",16890,17064,13894,-2996
NY,"3/30/2026 9 p.m. EDT",16672,16864,13853,-2819
