population_group_id,population_group_name,measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,All Population,1,Deaths,76,Belgium,3,Both,228,55+ years,697,Falls,1,Number,1981,1609.2064564525579,1793.9661888106743,1403.716194843263
1,All Population,1,Deaths,76,Belgium,3,Both,228,55+ years,697,Falls,2,Percent,1981,0.01618897868452201,0.017999835216681886,0.014084253889888456
1,All Population,1,Deaths,76,Belgium,3,Both,228,55+ years,697,Falls,3,Rate,1981,66.22957939568421,73.83367476472236,57.77228447139308
1,All Population,1,Deaths,73,Western Europe,3,Both,228,55+ years,697,Falls,1,Number,1981,47833.95496575608,52205.929764954824,42485.771372398965
1,All Population,1,Deaths,73,Western Europe,3,Both,228,55+ years,697,Falls,2,Percent,1981,0.01408379279818292,0.015382695114995144,0.012518998339075394
1,All Population,1,Deaths,73,Western Europe,3,Both,228,55+ years,697,Falls,3,Rate,1981,53.77321647809209,58.688033734628405,47.76098030953665
1,All Population,1,Deaths,367,Monaco,3,Both,228,55+ years,697,Falls,1,Number,1980,2.918208238569087,4.188839685646579,2.0466069485462257
1,All Population,1,Deaths,367,Monaco,3,Both,228,55+ years,697,Falls,2,Percent,1980,0.006028764638903817,0.00867065347953262,0.004337792401349308
1,All Population,1,Deaths,367,Monaco,3,Both,228,55+ years,697,Falls,3,Rate,1980,28.906026081717012,41.49214151516588,20.272464813103504
1,All Population,1,Deaths,78,Denmark,3,Both,228,55+ years,697,Falls,1,Number,1981,804.5081541538257,893.0647129392511,712.8804368809907
1,All Population,1,Deaths,78,Denmark,3,Both,228,55+ years,697,Falls,2,Percent,1981,0.01620114533020535,0.01792744912279596,0.014315645576589216
1,All Population,1,Deaths,78,Denmark,3,Both,228,55+ years,697,Falls,3,Rate,1981,62.594951943152026,69.48511646516965,55.4658351905862
1,All Population,1,Deaths,80,France,3,Both,228,55+ years,697,Falls,1,Number,1981,12448.28204036789,13926.622767147383,10767.879399665539
1,All Population,1,Deaths,80,France,3,Both,228,55+ years,697,Falls,2,Percent,1981,0.02614288120284253,0.029266727152473433,0.022584676338389804
1,All Population,1,Deaths,80,France,3,Both,228,55+ years,697,Falls,3,Rate,1981,98.29560860317662,109.96905888253404,85.02661295136045
1,All Population,1,Deaths,87,Luxembourg,3,Both,228,55+ years,697,Falls,1,Number,1980,54.48655059451247,60.92887978199797,48.95283808256992
1,All Population,1,Deaths,87,Luxembourg,3,Both,228,55+ years,697,Falls,2,Percent,1980,0.015413470097822669,0.017251837556191127,0.013799870672521286
1,All Population,1,Deaths,87,Luxembourg,3,Both,228,55+ years,697,Falls,3,Rate,1980,64.78437270457373,72.44428603389441,58.20480233533554
1,All Population,1,Deaths,396,San Marino,3,Both,228,55+ years,697,Falls,1,Number,1980,1.0738394020837567,1.4855550535859616,0.7408630501258118
1,All Population,1,Deaths,396,San Marino,3,Both,228,55+ years,697,Falls,2,Percent,1980,0.007572549359806984,0.010338335917940065,0.0052859091162287325
1,All Population,1,Deaths,396,San Marino,3,Both,228,55+ years,697,Falls,3,Rate,1980,24.904149162673175,34.45253039893773,17.18186525251673
1,All Population,1,Deaths,91,Portugal,3,Both,228,55+ years,697,Falls,1,Number,1980,688.7293774947724,770.0311385625704,610.9094614050468
1,All Population,1,Deaths,91,Portugal,3,Both,228,55+ years,697,Falls,2,Percent,1980,0.009006510867379013,0.010085803765388476,0.00798983396809228
1,All Population,1,Deaths,91,Portugal,3,Both,228,55+ years,697,Falls,3,Rate,1980,33.11849538386316,37.02800191372548,29.376418138421794
1,All Population,1,Deaths,88,Malta,3,Both,228,55+ years,697,Falls,1,Number,1980,30.303154283853587,34.11935258235467,26.211263749684807
1,All Population,1,Deaths,88,Malta,3,Both,228,55+ years,697,Falls,2,Percent,1980,0.010860483679877513,0.012049040624885828,0.009518789541452305
1,All Population,1,Deaths,88,Malta,3,Both,228,55+ years,697,Falls,3,Rate,1980,48.099208411784595,54.156535499945335,41.60428403006559
1,All Population,1,Deaths,81,Germany,3,Both,228,55+ years,697,Falls,1,Number,1981,10310.469241545368,11510.614716111631,9056.02512508478
1,All Population,1,Deaths,81,Germany,3,Both,228,55+ years,697,Falls,2,Percent,1981,0.012272188828883772,0.013676037758552624,0.010758611857680869
1,All Population,1,Deaths,81,Germany,3,Both,228,55+ years,697,Falls,3,Rate,1981,52.097224579170955,58.161376156697294,45.75871026656031
1,All Population,1,Deaths,74,Andorra,3,Both,228,55+ years,697,Falls,1,Number,1980,1.5675418364756346,2.122494001129989,1.1178984796859406
1,All Population,1,Deaths,74,Andorra,3,Both,228,55+ years,697,Falls,2,Percent,1980,0.016518155750493556,0.02248551970978562,0.011714837713781144
1,All Population,1,Deaths,74,Andorra,3,Both,228,55+ years,697,Falls,3,Rate,1980,31.92085708966114,43.22170299203151,22.764481802306943
1,All Population,1,Deaths,77,Cyprus,3,Both,228,55+ years,697,Falls,1,Number,1981,70.020143106509,97.22161775774646,49.31468773041603
1,All Population,1,Deaths,77,Cyprus,3,Both,228,55+ years,697,Falls,2,Percent,1981,0.011522627872802848,0.01586571171500407,0.008197760523159368
1,All Population,1,Deaths,77,Cyprus,3,Both,228,55+ years,697,Falls,3,Rate,1981,55.35058243183437,76.85321579064578,38.9830207026358
1,All Population,1,Deaths,82,Greece,3,Both,228,55+ years,697,Falls,1,Number,1981,962.0881474689231,1074.7913638012599,861.6174246763015
1,All Population,1,Deaths,82,Greece,3,Both,228,55+ years,697,Falls,2,Percent,1981,0.012801411396648428,0.014269508519819637,0.011483160354712535
1,All Population,1,Deaths,82,Greece,3,Both,228,55+ years,697,Falls,3,Rate,1981,43.52208546608049,48.62045303917916,38.97708052477329
1,All Population,1,Deaths,76,Belgium,3,Both,228,55+ years,697,Falls,1,Number,1980,1640.3182607976546,1847.7960449513473,1434.922189267172
1,All Population,1,Deaths,76,Belgium,3,Both,228,55+ years,697,Falls,2,Percent,1980,0.016489983053077892,0.01845030591982009,0.014414152384700174
1,All Population,1,Deaths,76,Belgium,3,Both,228,55+ years,697,Falls,3,Rate,1980,68.09782009313564,76.71126125043277,59.57080124490429
1,All Population,1,Deaths,88,Malta,3,Both,228,55+ years,697,Falls,1,Number,1981,29.201110537041536,32.72804525874391,25.608589662180393
1,All Population,1,Deaths,88,Malta,3,Both,228,55+ years,697,Falls,2,Percent,1981,0.010570519164162052,0.011810714062804725,0.009297925682326576
1,All Population,1,Deaths,88,Malta,3,Both,228,55+ years,697,Falls,3,Rate,1981,45.77305915869655,51.3015677906049,40.14174351659867
1,All Population,1,Deaths,94,Switzerland,3,Both,228,55+ years,697,Falls,1,Number,1980,1175.7093977280704,1312.7538265110334,1047.63012167961
1,All Population,1,Deaths,94,Switzerland,3,Both,228,55+ years,697,Falls,2,Percent,1980,0.02270630487852163,0.025244185507238778,0.020223728197676136
1,All Population,1,Deaths,94,Switzerland,3,Both,228,55+ years,697,Falls,3,Rate,1980,77.69029438709964,86.74612232964604,69.22687929462883
1,All Population,1,Deaths,75,Austria,3,Both,228,55+ years,697,Falls,1,Number,1980,1593.046394879421,1744.0910572441019,1445.203754260302
1,All Population,1,Deaths,75,Austria,3,Both,228,55+ years,697,Falls,2,Percent,1980,0.019700644895251047,0.021546368990228142,0.01788416934747472
1,All Population,1,Deaths,75,Austria,3,Both,228,55+ years,697,Falls,3,Rate,1980,84.10664131339337,92.08121084297092,76.3011260532315
1,All Population,1,Deaths,94,Switzerland,3,Both,228,55+ years,697,Falls,1,Number,1981,1195.525376783862,1324.670735030063,1057.6807375243754
1,All Population,1,Deaths,94,Switzerland,3,Both,228,55+ years,697,Falls,2,Percent,1981,0.022775652457509208,0.025300851360910183,0.02011024187059354
1,All Population,1,Deaths,94,Switzerland,3,Both,228,55+ years,697,Falls,3,Rate,1981,78.1418825430433,86.58307635709845,69.13208666637215
1,All Population,1,Deaths,92,Spain,3,Both,228,55+ years,697,Falls,1,Number,1980,1830.039673703645,2058.5084944980067,1609.6444058337106
1,All Population,1,Deaths,92,Spain,3,Both,228,55+ years,697,Falls,2,Percent,1980,0.007497390319742035,0.008447379796049368,0.006596397383745851
1,All Population,1,Deaths,92,Spain,3,Both,228,55+ years,697,Falls,3,Rate,1980,23.73111910691603,26.693798482885484,20.87313387983234
1,All Population,1,Deaths,93,Sweden,3,Both,228,55+ years,697,Falls,1,Number,1980,1529.899221513924,1692.6798176456011,1355.6431597029148
1,All Population,1,Deaths,93,Sweden,3,Both,228,55+ years,697,Falls,2,Percent,1980,0.018375958253276016,0.020336317490820564,0.01633338937043608
1,All Population,1,Deaths,93,Sweden,3,Both,228,55+ years,697,Falls,3,Rate,1980,65.41005218570345,72.3696526208593,57.95982413378365
1,All Population,1,Deaths,79,Finland,3,Both,228,55+ years,697,Falls,1,Number,1981,519.6008431509991,560.837964306588,477.5393197353161
1,All Population,1,Deaths,79,Finland,3,Both,228,55+ years,697,Falls,2,Percent,1981,0.013760578310963249,0.014789571189730812,0.01264256668536621
1,All Population,1,Deaths,79,Finland,3,Both,228,55+ years,697,Falls,3,Rate,1981,48.787245690767385,52.65915157374723,44.83793362929222
1,All Population,1,Deaths,83,Iceland,3,Both,228,55+ years,697,Falls,1,Number,1980,17.542274980805573,20.03862130470872,15.422144277942746
1,All Population,1,Deaths,83,Iceland,3,Both,228,55+ years,697,Falls,2,Percent,1980,0.013568088065925894,0.015365742819830663,0.011943735783929498
1,All Population,1,Deaths,83,Iceland,3,Both,228,55+ years,697,Falls,3,Rate,1980,43.71166815358142,49.93203935550726,38.42874733361012
1,All Population,1,Deaths,85,Israel,3,Both,228,55+ years,697,Falls,1,Number,1981,145.53560987631326,161.94078550047158,128.80893728375858
1,All Population,1,Deaths,85,Israel,3,Both,228,55+ years,697,Falls,2,Percent,1981,0.00673273909596218,0.007491053188694469,0.00598065664518715
1,All Population,1,Deaths,85,Israel,3,Both,228,55+ years,697,Falls,3,Rate,1981,22.604700457241584,25.15276468185097,20.006701081539735
1,All Population,1,Deaths,84,Ireland,3,Both,228,55+ years,697,Falls,1,Number,1980,258.65428409899596,286.85009402578197,230.6276334012202
1,All Population,1,Deaths,84,Ireland,3,Both,228,55+ years,697,Falls,2,Percent,1980,0.008901032273327461,0.009846240937399716,0.007957674087282528
1,All Population,1,Deaths,84,Ireland,3,Both,228,55+ years,697,Falls,3,Rate,1980,38.825449243745105,43.05779741849917,34.61849281180678
1,All Population,1,Deaths,89,Netherlands,3,Both,228,55+ years,697,Falls,1,Number,1981,1468.8270362398798,1644.5328971702404,1278.8156438244134
1,All Population,1,Deaths,89,Netherlands,3,Both,228,55+ years,697,Falls,2,Percent,1981,0.01444612963403297,0.016155812356086225,0.012598664189250434
1,All Population,1,Deaths,89,Netherlands,3,Both,228,55+ years,697,Falls,3,Rate,1981,49.714359496938435,55.66135265576018,43.283177037744075
1,All Population,1,Deaths,76,Belgium,3,Both,228,55+ years,697,Falls,1,Number,1982,1603.1343214147992,1796.1194948958187,1385.682518510634
1,All Population,1,Deaths,76,Belgium,3,Both,228,55+ years,697,Falls,2,Percent,1982,0.01610805167359851,0.018026578807972794,0.013984855469200065
1,All Population,1,Deaths,76,Belgium,3,Both,228,55+ years,697,Falls,3,Rate,1982,65.49286964114465,73.37689572718826,56.609307989076775
1,All Population,1,Deaths,94,Switzerland,3,Both,228,55+ years,697,Falls,1,Number,1982,1237.800941420281,1369.9543839155049,1087.1121740888314
1,All Population,1,Deaths,94,Switzerland,3,Both,228,55+ years,697,Falls,2,Percent,1982,0.023554504792808448,0.026017071423498083,0.020581912176317656
1,All Population,1,Deaths,94,Switzerland,3,Both,228,55+ years,697,Falls,3,Rate,1982,80.11639248357267,88.66999485428511,70.36309530758265
1,All Population,1,Deaths,396,San Marino,3,Both,228,55+ years,697,Falls,1,Number,1981,1.0974096786478207,1.5327106161610748,0.7293051403707044
1,All Population,1,Deaths,396,San Marino,3,Both,228,55+ years,697,Falls,2,Percent,1981,0.0076224049339753165,0.010442703226568498,0.005155197303155913
1,All Population,1,Deaths,396,San Marino,3,Both,228,55+ years,697,Falls,3,Rate,1981,25.004026388334452,34.922178506201035,16.61691648049443
1,All Population,1,Deaths,89,Netherlands,3,Both,228,55+ years,697,Falls,1,Number,1980,1455.2377535197293,1641.9906549781276,1269.6091672959344
1,All Population,1,Deaths,89,Netherlands,3,Both,228,55+ years,697,Falls,2,Percent,1980,0.014554713775794158,0.016371342878818466,0.012681825140674476
1,All Population,1,Deaths,89,Netherlands,3,Both,228,55+ years,697,Falls,3,Rate,1980,49.98207652150975,56.396353356158336,43.60641578925018
1,All Population,1,Deaths,90,Norway,3,Both,228,55+ years,697,Falls,1,Number,1980,897.6642617441026,994.9057810452199,786.7951740427172
1,All Population,1,Deaths,90,Norway,3,Both,228,55+ years,697,Falls,2,Percent,1980,0.023971766432752086,0.02652543124955321,0.021171526724986935
1,All Population,1,Deaths,90,Norway,3,Both,228,55+ years,697,Falls,3,Rate,1980,83.51894993742309,92.56632981926155,73.20365703788306
1,All Population,1,Deaths,73,Western Europe,3,Both,228,55+ years,697,Falls,1,Number,1980,47640.80075986672,52069.11553973453,42548.077024738406
1,All Population,1,Deaths,73,Western Europe,3,Both,228,55+ years,697,Falls,2,Percent,1980,0.01408156523742799,0.01539566979594942,0.01257867373811335
1,All Population,1,Deaths,73,Western Europe,3,Both,228,55+ years,697,Falls,3,Rate,1980,54.16473867793194,59.19946750300288,48.37461664235726
