population_group_id,population_group_name,measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,All Population,1,Deaths,1,Global,3,Both,22,All ages,560,Alcohol use disorders,1,Number,1980,113029.97769715024,129493.57500242199,101493.78610430003
1,All Population,1,Deaths,1,Global,3,Both,22,All ages,560,Alcohol use disorders,2,Percent,1980,0.0024581767666032287,0.0028201123336772382,0.002206682126200103
1,All Population,1,Deaths,1,Global,3,Both,22,All ages,560,Alcohol use disorders,3,Rate,1980,2.529058237787402,2.897433046283554,2.2709346764542815
1,All Population,1,Deaths,1,Global,3,Both,22,All ages,562,Opioid use disorders,1,Number,1980,25058.562452947237,31575.19793929461,20271.46841958897
1,All Population,1,Deaths,1,Global,3,Both,22,All ages,562,Opioid use disorders,2,Percent,1980,0.0005449789942688856,0.0006837900153536733,0.00043839963776983154
1,All Population,1,Deaths,1,Global,3,Both,22,All ages,562,Opioid use disorders,3,Rate,1980,0.5606881031910008,0.7064985421133476,0.45357634534772845
1,All Population,1,Deaths,1,Global,3,Both,22,All ages,563,Cocaine use disorders,1,Number,1980,2586.365861582195,3486.8621359063536,1977.7775809057557
1,All Population,1,Deaths,1,Global,3,Both,22,All ages,563,Cocaine use disorders,2,Percent,1980,5.6250250163192114e-05,7.567961046719365e-05,4.299895824706113e-05
1,All Population,1,Deaths,1,Global,3,Both,22,All ages,563,Cocaine use disorders,3,Rate,1980,0.057870221877708766,0.07801892549665854,0.044252991864715305
1,All Population,1,Deaths,1,Global,3,Both,22,All ages,564,Amphetamine use disorders,1,Number,1980,2374.6841942199926,4734.4630647409,1189.0852128999468
1,All Population,1,Deaths,1,Global,3,Both,22,All ages,564,Amphetamine use disorders,2,Percent,1980,5.164220285696269e-05,0.00010296487953758236,2.5865375745038528e-05
1,All Population,1,Deaths,1,Global,3,Both,22,All ages,564,Amphetamine use disorders,3,Rate,1980,0.05313382118527156,0.10593413410613327,0.026605913001003956
1,All Population,1,Deaths,1,Global,3,Both,22,All ages,566,Other drug use disorders,1,Number,1980,9773.971849585005,14259.461261849388,6647.713781644281
1,All Population,1,Deaths,1,Global,3,Both,22,All ages,566,Other drug use disorders,2,Percent,1980,0.0002125738982269369,0.0003112319390719978,0.00014524954950603688
1,All Population,1,Deaths,1,Global,3,Both,22,All ages,566,Other drug use disorders,3,Rate,1980,0.2186936998990344,0.31905702102602274,0.14874333026028896
1,All Population,1,Deaths,1,Global,3,Both,22,All ages,560,Alcohol use disorders,1,Number,1981,113326.59576482057,129608.5681189809,101219.84353405143
1,All Population,1,Deaths,1,Global,3,Both,22,All ages,560,Alcohol use disorders,2,Percent,1981,0.0024724143830546137,0.002830742328139025,0.002214911392387013
1,All Population,1,Deaths,1,Global,3,Both,22,All ages,560,Alcohol use disorders,3,Rate,1981,2.489684753378422,2.8473852388779237,2.2237101492843596
1,All Population,1,Deaths,1,Global,3,Both,22,All ages,562,Opioid use disorders,1,Number,1981,25982.798318362373,32839.434919667285,20588.92613944802
1,All Population,1,Deaths,1,Global,3,Both,22,All ages,562,Opioid use disorders,2,Percent,1981,0.0005668763513519183,0.0007154878211140223,0.0004460926378315601
1,All Population,1,Deaths,1,Global,3,Both,22,All ages,562,Opioid use disorders,3,Rate,1981,0.5708190243142771,0.7214532464976675,0.45232043856849524
1,All Population,1,Deaths,1,Global,3,Both,22,All ages,563,Cocaine use disorders,1,Number,1981,2689.0163005241243,3557.388047672533,2070.280228633781
1,All Population,1,Deaths,1,Global,3,Both,22,All ages,563,Cocaine use disorders,2,Percent,1981,5.866612705802316e-05,7.75887774135703e-05,4.4923404213714316e-05
1,All Population,1,Deaths,1,Global,3,Both,22,All ages,563,Cocaine use disorders,3,Rate,1981,0.05907530213732229,0.07815265890913055,0.04548221964724682
1,All Population,1,Deaths,1,Global,3,Both,22,All ages,564,Amphetamine use disorders,1,Number,1981,2538.5215587662215,5093.692144226089,1277.741640765114
1,All Population,1,Deaths,1,Global,3,Both,22,All ages,564,Amphetamine use disorders,2,Percent,1981,5.5383065758504776e-05,0.00011113396333944707,2.7889375438343232e-05
1,All Population,1,Deaths,1,Global,3,Both,22,All ages,564,Amphetamine use disorders,3,Rate,1981,0.055769066196062415,0.11190389673577274,0.02807085009745922
1,All Population,1,Deaths,1,Global,3,Both,22,All ages,566,Other drug use disorders,1,Number,1981,10128.062224975918,14325.784868738137,7041.387676405763
1,All Population,1,Deaths,1,Global,3,Both,22,All ages,566,Other drug use disorders,2,Percent,1981,0.0002209572816191937,0.0003114683916490373,0.0001538679166332993
1,All Population,1,Deaths,1,Global,3,Both,22,All ages,566,Other drug use disorders,3,Rate,1981,0.2225045403739029,0.3147247821852291,0.15469303937228268
1,All Population,1,Deaths,1,Global,3,Both,22,All ages,560,Alcohol use disorders,1,Number,1982,113402.40034005641,128855.49980741605,101201.34755091758
1,All Population,1,Deaths,1,Global,3,Both,22,All ages,560,Alcohol use disorders,2,Percent,1982,0.0024690665489225817,0.0028194129835280098,0.0021969450716906535
1,All Population,1,Deaths,1,Global,3,Both,22,All ages,560,Alcohol use disorders,3,Rate,1982,2.446682115170053,2.780086187547326,2.1834416762030187
1,All Population,1,Deaths,1,Global,3,Both,22,All ages,562,Opioid use disorders,1,Number,1982,26973.267725741774,34131.531393818856,21335.21585591491
1,All Population,1,Deaths,1,Global,3,Both,22,All ages,562,Opioid use disorders,2,Percent,1982,0.0005872848569695822,0.0007403047772845717,0.0004614916642559775
