Year,Country,ISO3,positive_country,positive_iso3,event_type,is_large_drop,prev_access,current_access,delta_pp,rank_delta,countries_compared,crossed_50,crossed_70,crossed_75,crossed_80,crossed_99,fell_below_50,fell_below_70,fell_below_80,fell_below_99,positive_threshold_note,positive_delta_pp,positive_map_annotation_rich,positive_map_annotation,primary_line_color,positive_line_color,map_annotation_rich,map_annotation,annotation
1990,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,
1991,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,
1992,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,
1993,,,Mexico,MEX,,FALSE,,,,,,,,,,,,,,,crossed 95% household electricity access,2.3024824399414,<span style='color:#2D8F7C;font-family:FiraCodeMedium;'>Mexico</span> improved and crossed 95% household electricity access (<span style='color:#2D8F7C;font-family:FiraCodeMedium;'>+2.3 pp</span>),Mexico improved and crossed 95% household electricity access (+2.3 pp),,#2D8F7C,,,
1994,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,
1995,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,
1996,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,
1997,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,
1998,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,
1999,,,Argentina,ARG,,FALSE,,,,,,,,,,,,,,,crossed 95% household electricity access,0.3181533813475994,<span style='color:#2D8F7C;font-family:FiraCodeMedium;'>Argentina</span> improved and crossed 95% household electricity access (<span style='color:#2D8F7C;font-family:FiraCodeMedium;'>+0.3 pp</span>),Argentina improved and crossed 95% household electricity access (+0.3 pp),,#2D8F7C,,,
2000,,,Colombia,COL,,FALSE,,,,,,,,,,,,,,,crossed 95% household electricity access,1.0524703979492074,<span style='color:#2D8F7C;font-family:FiraCodeMedium;'>Colombia</span> improved and crossed 95% household electricity access (<span style='color:#2D8F7C;font-family:FiraCodeMedium;'>+1.1 pp</span>),Colombia improved and crossed 95% household electricity access (+1.1 pp),,#2D8F7C,,,
2001,,,Trinidad and Tobago,TTO,,FALSE,,,,,,,,,,,,,,,crossed 95% household electricity access,5,<span style='color:#2D8F7C;font-family:FiraCodeMedium;'>Trinidad and Tobago</span> improved and crossed 95% household electricity access (<span style='color:#2D8F7C;font-family:FiraCodeMedium;'>+5.0 pp</span>),Trinidad and Tobago improved and crossed 95% household electricity access (+5.0 pp),,#2D8F7C,,,
2002,,,St. Kitts and Nevis,KNA,,FALSE,,,,,,,,,,,,,,,crossed 95% household electricity access,2.299999999999997,<span style='color:#2D8F7C;font-family:FiraCodeMedium;'>St. Kitts and Nevis</span> improved and crossed 95% household electricity access (<span style='color:#2D8F7C;font-family:FiraCodeMedium;'>+2.3 pp</span>),St. Kitts and Nevis improved and crossed 95% household electricity access (+2.3 pp),,#2D8F7C,,,
2003,,,Ecuador,ECU,,FALSE,,,,,,,,,,,,,,,crossed 95% household electricity access,0.7999999999999972,<span style='color:#2D8F7C;font-family:FiraCodeMedium;'>Ecuador</span> improved and crossed 95% household electricity access (<span style='color:#2D8F7C;font-family:FiraCodeMedium;'>+0.8 pp</span>),Ecuador improved and crossed 95% household electricity access (+0.8 pp),,#2D8F7C,,,
2004,,,Seychelles,SYC,,FALSE,,,,,,,,,,,,,,,crossed 95% household electricity access,0.29999999999999716,<span style='color:#2D8F7C;font-family:FiraCodeMedium;'>Seychelles</span> improved and crossed 95% household electricity access (<span style='color:#2D8F7C;font-family:FiraCodeMedium;'>+0.3 pp</span>),Seychelles improved and crossed 95% household electricity access (+0.3 pp),,#2D8F7C,,,
2005,,,Viet Nam,VNM,,FALSE,,,,,,,,,,,,,,,crossed 95% household electricity access,5.099999999999994,<span style='color:#2D8F7C;font-family:FiraCodeMedium;'>Viet Nam</span> improved and crossed 95% household electricity access (<span style='color:#2D8F7C;font-family:FiraCodeMedium;'>+5.1 pp</span>),Viet Nam improved and crossed 95% household electricity access (+5.1 pp),,#2D8F7C,,,
2006,,,Syrian Arab Republic,SYR,,FALSE,,,,,,,,,,,,,,,crossed 95% household electricity access,7.5,<span style='color:#2D8F7C;font-family:FiraCodeMedium;'>Syrian Arab Republic</span> improved and crossed 95% household electricity access (<span style='color:#2D8F7C;font-family:FiraCodeMedium;'>+7.5 pp</span>),Syrian Arab Republic improved and crossed 95% household electricity access (+7.5 pp),,#2D8F7C,,,
2007,,,Dominican Republic,DOM,,FALSE,,,,,,,,,,,,,,,crossed 95% household electricity access,6.800000000000011,<span style='color:#2D8F7C;font-family:FiraCodeMedium;'>Dominican Republic</span> improved and crossed 95% household electricity access (<span style='color:#2D8F7C;font-family:FiraCodeMedium;'>+6.8 pp</span>),Dominican Republic improved and crossed 95% household electricity access (+6.8 pp),,#2D8F7C,,,
2008,Sudan,SDN,Samoa,WSM,conflict_related_decline,TRUE,31.1,20,-11.100000000000001,206,206,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,crossed 95% household electricity access,5.599999999999994,<span style='color:#2D8F7C;font-family:FiraCodeMedium;'>Samoa</span> improved and crossed 95% household electricity access (<span style='color:#2D8F7C;font-family:FiraCodeMedium;'>+5.6 pp</span>),Samoa improved and crossed 95% household electricity access (+5.6 pp),#F07178,#2D8F7C,<span style='color:#F07178;font-family:FiraCodeMedium;'>Sudan</span> decline amid civil conflict (<span style='color:#F07178;font-family:FiraCodeMedium;'>-11.1 pp</span>),Sudan decline amid civil conflict (-11.1 pp),Sudan declined by 11.1 pp amid civil conflict.
2009,,,Maldives,MDV,,FALSE,,,,,,,,,,,,,,,crossed 95% household electricity access,6.300000000000011,<span style='color:#2D8F7C;font-family:FiraCodeMedium;'>Maldives</span> improved and crossed 95% household electricity access (<span style='color:#2D8F7C;font-family:FiraCodeMedium;'>+6.3 pp</span>),Maldives improved and crossed 95% household electricity access (+6.3 pp),,#2D8F7C,,,
