Year,Total_Mt,Synthetic_Mt,Cotton_Mt,Cellulosic_Mt,Wool_Others_Mt
1975,27.0,10.0,14.0,1.5,1.5
1976,27.6,10.4,14.2,1.5,1.5
1977,28.2,10.8,14.4,1.5,1.5
1978,28.8,11.2,14.6,1.5,1.5
1979,29.4,11.6,14.8,1.5,1.5
1980,30.0,12.0,15.0,1.5,1.5
1981,31.0,12.8,15.3,1.5,1.4
1982,32.0,13.6,15.6,1.6,1.2
1983,33.0,14.4,15.9,1.6,1.1
1984,34.0,15.2,16.2,1.7,0.9
1985,35.0,16.0,16.5,1.7,0.8
1986,36.0,16.8,16.8,1.8,0.6
1987,37.0,17.6,17.1,1.8,0.5
1988,38.0,18.4,17.4,1.9,0.3
1989,39.0,19.2,17.7,1.9,0.2
1990,40.0,18.0,18.0,2.0,2.0
1991,41.8,19.2,18.1,2.1,2.4
1992,43.6,20.4,18.2,2.2,2.8
1993,45.4,21.6,18.3,2.3,3.2
1994,47.2,22.8,18.4,2.4,3.6
1995,49.0,24.0,18.5,2.5,4.0
1996,50.8,25.2,18.8,2.6,4.2
1997,52.6,26.4,19.1,2.7,4.4
1998,54.4,27.6,19.4,2.8,4.6
1999,56.2,28.8,19.7,2.9,4.8
2000,58.0,30.0,24.0,3.0,2.0
2001,60.4,32.0,24.2,3.1,1.1
2002,62.8,34.0,24.4,3.2,1.2
2003,65.2,36.0,24.6,3.3,1.3
2004,67.6,38.0,24.8,3.4,1.4
2005,70.0,40.0,25.0,3.5,1.5
2006,73.6,43.0,25.4,3.8,1.4
2007,77.2,46.0,25.8,4.1,1.3
2008,80.8,49.0,26.2,4.4,1.2
2009,84.4,52.0,26.6,4.7,1.1
2010,88.0,54.0,27.0,5.0,2.0
2011,90.4,56.2,26.8,5.2,2.2
2012,92.8,58.4,26.6,5.4,2.4
2013,95.2,60.6,26.4,5.6,2.6
2014,97.6,62.8,26.2,5.8,2.8
2015,100.0,65.0,26.0,6.0,3.0
2016,101.8,67.0,25.8,6.2,2.8
2017,103.6,69.0,25.6,6.4,2.6
2018,105.4,71.0,25.4,6.6,2.4
2019,107.2,73.0,25.2,6.8,2.2
2020,109.0,75.0,25.0,7.0,2.0
2021,113.0,80.0,26.0,7.0,2.0
2022,120.0,88.0,27.0,8.0,2.0
2023,125.0,92.0,29.0,8.0,2.0
2024,132.0,97.0,30.0,9.0,2.0
2025,135.0,100.0,31.0,9.0,2.0
